n_exp,w1,w2,k_value,rho,n_obs,n_hidden,T,original_phrase,attacked_phrase,hamming_d2target,d2original,exp_util,original_acc,attacked_acc,seconds
0,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['human', 'years', 'opposition', 'foreign', 'began', 'militants', 'members', 'home', 'years', 'police', 'next', 'flu', 'called', 'parliament', 'wednesday', 'set', 'next', 'baghdad', 'soldiers', 'least', 'forces', 'top', '10', ')', 'day', 'troops', 'top', 'council', 'eu', 'recent']",0.2,0.0,69.82849929601353,1.0,0.1,1500
1,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['among', 'died', 'baghdad', 'troops', 'took', 'talks', 'talks', 'general', 'southern', '20', 'several', 'house', 'years', 'japan', 'man', 'israel', 'india', 'billion', 'attack', 'hamas', 'years', 'among', 'seven', 'three', 'top', 'baghdad', 'second', '(', 'bird', 'war']",0.26666666666666666,0.03333333333333333,72.92130886666757,1.0,0.2,1500
2,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['war', '-', ""'s"", ""shi'ite"", 'one', 'attacks', 'outside', 'help', 'says', 'chavez', 'reported', 'growth', 'minister', 'released', 'weapons', 'election', 'united', 'plan', 'efforts', '20', 'confirmed', 'deal', 'early', 'chief', 'soldiers', 'least', 'program', 'late', 'people', ""shi'ite""]",0.16666666666666666,0.0,68.76394267582259,1.0,0.13333333333333333,1500
3,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['saturday', 'ago', 'organization', 'saturday', 'authorities', 'made', 'insurgents', 'arrested', 'iran', 'office', 'military', 'sunday', 'weapons', 'public', 'year', 'man', 'arrested', 'iranian', 'department', ""'"", 'global', 'car', 'month', 'vote', 'first', 'set', 'power', 'al-qaida', 'secretary', 'including']",0.06666666666666667,0.0,64.57147633310086,1.0,0.13333333333333333,1500
4,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['hamas', 'virus', 'afghanistan', 'insurgents', 'called', 'meeting', 'prices', 'take', 'defense', 'made', 'meet', 'chavez', 'three', 'plan', 'global', 'house', 'work', 'local', 'spokesman', 'one', 'head', 'agreement', 'european', 'united', 'chinese', 'top', 'wednesday', 'workers', 'south', 'elections']",0.1,0.0,65.18925642290988,1.0,0.2,1500
5,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['later', 'control', 'defense', 'found', 'tuesday', 'weeks', 'force', 'pakistan', 'province', 'elections', 'many', 'government', 'announced', 'tehran', 'would', 'three', 'arrested', 'meeting', 'detained', 'security', 'second', 'agency', 'border', 'control', '.', 'gaza', 'european', 'britain', 'defense', 'public']",0.06666666666666667,0.0,65.03093484138172,1.0,0.0,1500
6,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['chinese', 'official', 'attacks', 'high', 'african', 'bird', 'billion', 'many', 'force', 'men', 'people', 'iranian', 'oil', 'months', 'groups', 'blast', 'global', 'sunday', 'fire', 'wednesday', 'islamic', 'support', 'killed', 'take', 'following', 'israeli', ""shi'ite"", 'new', 'oil', 'five']",0.06666666666666667,0.0,64.45656968784722,1.0,0.03333333333333333,1500
7,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['sudan', 'hit', 'venezuela', 'past', 'talks', 'killing', 'french', '(', 'sudan', 'second', 'saturday', 'russia', 'january', 'agency', 'says', 'take', 'area', 'death', 'organization', 'french', 'palestinian', 'also', 'pakistani', 'france', 'african', 'may', 'venezuela', 'also', 'mr.', 'time']",0.06666666666666667,0.03333333333333333,65.55232188458292,1.0,0.23333333333333334,1500
8,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['began', 'energy', 'visit', 'say', 'israel', 'insurgents', 'foreign', 'end', 'began', 'wednesday', 'fire', 'took', 'defense', 'months', 'rebels', 'opposition', 'members', 'news', 'news', 'flu', 'wounded', 'reports', 'capital', 'efforts', 'found', 'could', 'union', 'talks', 'american', 'party']",0.2,0.0,68.66196370105679,1.0,0.03333333333333333,1500
9,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['political', 'died', 'day', 'states', 'past', 'help', 'told', 'one', 'venezuela', 'late', 'thursday', '2003', 'talks', 'wounded', 'iraqi', 'met', 'militants', 'leaders', 'countries', 'thursday', 'work', '-', 'time', '(', 'talks', 'council', 'army', 'palestinian', 'organization', 'company']",0.13333333333333333,0.0,67.07491416587526,1.0,0.06666666666666667,1500
0,2.0,1.0,10000000.0,1.0,300,29,30,"['mr.', 'said', 'among', 'countries', 'six', 'party', 'talks', '(', 'among', 'china', ',', 'south', 'korea', ',', 'japan', ',', 'russia', ',', 'united', 'states', 'north', 'korea', ')', 'north', 'korea', ""'s"", 'nuclear', 'program', ')', '.']","['would', 'ago', 'group', 'democratic', 'charges', 'european', 'plans', 'city', 'court', 'growth', 'central', 'chavez', 'china', 'security', 'reports', 'expected', 'aid', 'hit', 'vote', 'political', 'police', 'members', 'visit', 'city', 'britain', 'world', 'flu', 'insurgents', 'suicide', 'court']",0.13333333333333333,0.0,66.9877990046076,1.0,0.1,3000
